text,label
〔その他〕 経常収益は、クレジットカード業務や信用保証業務における受取保証料が増加したことなどから、前年同期比92百万円（1.,0
現状におきましては、開業支援のワンストップソリューションサービスを既に構築しており、新規開業顧客のニーズに応えられる体制はある程度完成してはいるものの、開業後の経営支援分野におきましてはまだまだ充分なサービスを提供出来る体制が確立されているとは言えない状況にあります。,0
更に北朝鮮関連等の政治的不確実性が高まり、景気変動リスクが増しました。,1
一方で、諸外国の政策動向の影響や地政学リスク等により、依然として不確実性の高い市場動向が続いております。,1
販売見込本数の見積りは、様々な要因により影響を受けるもので、当初の見積り時に予測できなかった要因により販売見込本数が著しく減少した場合は、損益に影響を与える可能性があります。,0
 現時点においては、金融機関等からの借入はなく、手元流動性資金も相当程度保有できているため、当社事業の維持拡大に必要な運転・設備資金の確保は今後も可能であると考えております。,0
  (1) 経営成績当連結会計年度におけるわが国経済は、海外経済の不確実性や地政学リスクの高まりから先行き不透明な状況が続いたものの、企業業績や雇用・所得環境の改善が続くなど緩やかな回復基調が続きました。,1
上記の業績予想は、主に受注済の案件の進捗見込みや今後受注が見込まれる案件の確度や時期、期中の進捗度合いを想定し算出していますが、現時点で入手可能な情報に基づき判断したものであり、国内外の顧客の動向・競合状況、「２事業等のリスク」に記載している各種リスク要因などのさまざまな不確定要素により、実際の業績は記載の見通しと異なる可能性があります。,1
"増加要因の主なものは、定期預金の払戻による収入231,072千円、保険解約による収入48,140千円及び保険積立金の払戻による収入10,610千円等によるものです。",0
前期から続く通商問題を巡る動向、中国経済の先行きや、英国のEU離脱、金融資本市場の変動については未だ高い不確実性が存在しております。,1
この新しい手法に対して当社は、いち早く調査や研究に取り組み、最先端の技術を持つ米国企業の子会社化に向けた株式取得を進め、さらに様々な企業との協力体制を築くなど、新たな技術領域への取り組みをより一層加速させてまいりました。,0
(1) 財政状態及び経営成績の状況当事業年度におけるわが国経済は、政府・日銀による各種政策を背景として、雇用情勢や所得環境の改善による個人消費の持ち直しなど、緩やかな回復基調が続いている中、中国経済の減速や米中貿易摩擦の長期化、欧州政局不安などによる世界経済の動向と政策に関する不確実性並びに金融資本市場の変動に留意が必要な状況が続いております。,1
経営者は、使用した仮定は妥当なものと考えておりますが、将来の不確実な経済条件の変動の結果によって影響を受ける可能性があり、金利環境の変動等により前提条件と実際の結果が異なる場合又は前提条件に変化がある場合には、確定給付制度債務の評価額が異なる可能性があります。,1
 （投資活動によるキャッシュ・フロー）投資活動によるキャッシュ・フローは816百万円の支出（前年同期は43百万円の支出）となりました。,0
これらの結果、我が国における企業収益、個人消費については一部で改善が進む一方、全体的には不確実性が増しております。,1
"流動負債の主な変動要因は、1年内返済予定の長期借入金の減少489,742千円、買掛金の減少119,979千円、短期借入金の増加225,000千円、流動負債のその他の減少79,014千円であり、固定負債の主な変動要因は、長期借入金の増加371,147千円によるものであります。",0
 ロ．経営成績の状況当連結会計年度におけるわが国経済は、金融緩和等の各種政策の影響を背景に、企業収益や雇用・所得環境が改善する等緩やかな回復基調が続きましたが、海外経済の不確実性の影響等により、先行き不透明な状況で推移いたしました。,1
 ３【経営者による財政状態、経営成績及びキャッシュ・フローの状況の分析】(業績等の概要)（１）業績当連結会計年度におけるわが国経済は、海外経済の不確実性や金融資本市場の変動の影響により、先行きは不透明な状況で推移したものの、政府・日銀による各種政策の効果により、企業収益や雇用情勢は改善し、個人消費も持ち直しの動きが続くなど、景気は緩やかな回復基調で推移いたしました。,1
こうした中、海外店舗運営事業においては、新規出店による売上高増加に伴う利益増加に加え欧州エリアの損益改善が進み、増益要因となりました。,0
 また、今後の見通しとしては、世界経済の不確実性等が与える国内経済への影響も含め、景気停滞への懸念が顕在化しつつあるものの、雇用・所得環境の改善が継続しており、当不動産業界におきましても一部の事業領域で減速感は生じているものの、その市場動向は堅調に推移しております。,1
" セグメントの名称2021年３月期連結会計年度金 額（百万円）2022年３月期連結会計年度金 額（百万円）対前年同期比較差異分析金額差異(百万円)増減率(％)数量要因(百万円)価格要因(百万円)鮮魚の販売事業23,05222,935△117△0.",0
一方で、依然として海外経済の不確実性や地政学リスクの高まり等により、先行きは未だ不透明な状況となっております。,1
このように、外注費に伴う不確実性により、翌事業年度の収益認識及び工事損失引当金に重要な影響を与える可能性があります。,1
 当連結会計年度の韓国株式市場も、期初は地政学的リスクが浮き彫りになり軟調となりましたが、大統領選挙前後の政治的な不確実性が解消されたこと、好調な企業業績などを背景に堅調な動きとなり、秋以降、米国株式市場の良好さや北朝鮮の追加挑発がなく緊張が和らぐ場面もあったことから、韓国株式市場はさらに上昇しました。,1
しかしながら、米中貿易摩擦やイギリスのＥＵ離脱問題、アジア経済の不確実性などを要因として海外経済が減速し、国内においても消費増税が控えるなか、生産や輸出を中心に先行きの不透明感が依然として続いております。,1
(1) 業績当連結会計年度の経済情勢は、地政学的リスクや海外経済の不確実性、金融資本市場の変動により不透明な状況が継続しましたが、企業収益や雇用情勢の改善、各種政策の効果等により、国内景気は緩やかな回復基調で推移しました。,1
" （各事業別の売上高、営業収入および営業利益） （単位：百万円）事 業 区 分売 上 高営 業 収 入営 業 利 益金 額前年同期比（％）金 額前年同期比（％）金 額前年同期比（％）ガス事業63,900105.",0
"（固定資産）当連結会計年度末の固定資産の残高は、255,765千円（前期末は246,059千円）となり、期首から9,706千円増加いたしました。",0
"主な要因は、現金及び預金が951,652千円、売掛金が72,273千円増加したことによるものであります。",0
一方、海外経済については、概ね緩やかな回復傾向で推移したものの、貿易不均衡による通商問題の動向、中国経済の先行き、政策に関する不確実性など、景気の先行きは不透明な状況が続いております。,1
 経営成績の分析（概要）当社グループは、セキュリティサービスを中心に防災、メディカルサービス、保険、地理情報サービス、ＢＰＯ・ＩＣＴ、不動産開発・販売、不動産賃貸などの事業活動全般にわたってサービスの拡充、営業の拡大、システムの構築、商品の開発に努めるなど、積極的な事業展開を図ってまいりました。,0
 前連結会計年度までの各期において、一部の保険会社について、新たに計算結果確認書面の受領が可能となったこと等により２回目以降手数料の一部について翌１年間に受領する手数料額を計上し、その対象範囲を拡大させておりました。,0
" （売上原価、販売費及び一般管理費）売上原価は、ガスの仕入価格の増加等により5,142百万円増加し、110,733百万円（同4.",0
投資活動による資金需要の主なものについては、事業拡大のための生産設備増強などの設備投資、研究開発機能強化の投資のほか、グループ基盤強化のためのＭ＆Ａ投資等であります。,0
しかしながら、海外経済の不確実性もあり、不透明な状況です。,1
