text,label
 ①財政状態及び経営成績の状況 当事業年度におけるわが国経済は、堅調な企業業績や、雇用・所得環境の改善を背景に緩やかな回復基調を維持しました。,0
①ＦＡ事業 ＦＡ事業は、中国が好調に推移していることに加え、海外は各地域とも回復傾向にあるものの、日本の低迷が続き、売上高は740億５千５百万円（前年同期比0.,0
一方、営業利益は、国内需要は堅調に推移したものの、ナフサ価格の変動による在庫評価の影響等により、前連結会計年度に比べ111億円減の278億円となりました。,0
取締役８名のうち２名は独立社外取締役でありますが、当社は、独立社外取締役がその知見に基づき助言を行うこと、経営陣幹部の選解任その他の取締役会の重要な意思決定を通じて経営の監督を行うこと、利益相反に関する監督を行うこと、ステークホルダーの意見を取締役会に適切に反映させることが、独立社外取締役の主たる役割の一つと考えております。,0
当期はフェーズⅠ試験に向けた準備を進めるとともに、国内外企業に向けた導出可能性についても検討を行ってきました。,0
当事業年度（2021年２月１日～2022年１月31日）における世界経済は、感染力を増す新型コロナウイルス感染症（COVID-19）の変異株により、全世界的感染拡大の及ぼす影響が不確実且つ不透明な状況が継続しております。,1
海外経済においても緩やかな回復が見られますが、通商問題の動向、中国を始めアジア新興国等の経済の先行きに対する不透明感、政策の不確実性に対する影響、金融資本市場の変動の影響など、留意すべき事象は数多くあり、予断を許さない状況と思われます。,1
従いまして、継続企業の前提に関する重要な不確実性は、認められないものと判断しておりますので、四半期財務諸表の注記には記載をしておりません。,1
また、ファイナンス・リースについては、リース残価損失の計上が必要なことを示す客観的な証拠が存在すると考えられる場合に、見積損失のうち残存価額の未補償部分の減額修正をリース残価損失として、その期間に計上しています。,0
しかしながら欧米の政治動向の影響等による海外経済の不確実性、金融資本市場の変動の影響、さらには、相次いでいる自然災害の景気への影響など、先行き不透明な状況が続きました。,1
営業活動によるキャッシュ・フローは、55億99百万円の増加（前連結会計年度は55億36百万円の増加）となりました。,0
 ①財政状態及び経営成績の状況当連結会計年度において当社グループは、地域社会への貢献という経営理念に基づき、地方創生のプラットフォームの役割を担う「社会貢献型企業」を目指し、地方自治体のパートナーとして、広報やプロモーション、地域経済活動の領域をトータルプロモーションでサポートすべく、官民協働による行政情報誌『わが街事典』の発行や、ふるさと納税支援事業など、地方創生支援事業に取り組んでまいりました。,0
ただし、不確実性の高い経営環境において、テレワークの拡大や出張費等の不要不急の経費支出抑制、2017-2022中期経営計画の取組みの柱の一つ「工場の競争力」の強化として固定費削減への継続的な取り組みに努めたことなども寄与し、黒字業績を確保することができました。,1
"３．当連結会計年度の財政状態の分析当連結会計年度の総資産は、受取手形及び売掛金並びに商品及び製品等が減少したものの、現金及び預金等が増加したことから、前連結会計年度末に比べて2,295百万円増加して18,654百万円となりました。",0
一方、世界経済は米中間の貿易摩擦問題や、英国のＥＵ離脱など経済政策を巡る不確実性が高まっていることも影響し、中国や欧州を中心に減速の動きが見られ、先行き不透明感が強まる状況で推移いたしました。,1
 (1) 経営成績等の状況の概要① 経営成績当連結会計年度における世界経済は、総じてみれば着実な成長が続いておりますが、米国のマクロ政策運営、米中貿易摩擦、英国のEU離脱の展開、朝鮮半島情勢等、不確実性が高く、今後の動向を注視していく必要があります。,1
"相手先前事業年度(自 2018年11月１日 至 2019年10月31日)当事業年度(自 2019年11月１日 至 2020年10月31日)販売高(千円)割合(％)販売高(千円)割合(％)ソフトバンク株式会社476,67848.",0
当社グループの連結財務諸表で採用する重要な会計方針は、「第５ 経理の状況」の１．連結財務諸表 (1)連結財務諸表 注記事項の「連結財務諸表作成のための基本となる重要な事項 ４．会計方針に関する事項」に記載しているとおりであります。,0
一方、米中通商問題の動向等海外経済の不確実性による先行きの不透明な状況が続いております。,1
しかしながら、米中通商問題といった海外経済の不確実性や国内経済につきましても2019年度については景気の弱含みが指摘されるなど、先行き不透明な状況で推移いたしました。,1
① 財政状態及び経営成績の状況当連結会計年度（平成29年４月１日から平成30年３月31日まで）におけるわが国経済は、政府の経済対策や日銀の金融緩和政策の効果、世界経済の緩やかな回復を背景として輸出や設備投資が増加し、下期後半において円高・ドル安の影響を受けたものの企業収益の改善や雇用・所得環境の改善等、景気は緩やかな回復基調で推移いたしました。,0
加えて、米中貿易摩擦の激化をはじめとする海外経済の不確実性や金融資本市場の変動等の要因から、先行き不透明な状況となっております。,1
 以上の状況を踏まえ、2021年３月期の連結業績予想について算定いたしましたが、新型コロナウイルス感染症の収束時期や原材料価格動向の不確実性を考慮し、開示についてはレンジ形式とさせていただきます。,1
 (6) 経営者の問題認識と今後の方針についてわが国経済は、米中貿易摩擦の影響や欧州の政治情勢の混乱など海外経済の動向と政策に関する不確実性があり、先行きに懸念が広がっています。,1
 ３ 【経営者による財政状態、経営成績及びキャッシュ・フローの状況の分析】(1) 経営成績等の状況の概要当連結会計年度におけるわが国経済は、政府の経済政策や日銀の金融緩和を背景に、企業収益や雇用環境が改善し緩やかな回復基調がみられたものの、米国の政策動向による不確実性や地政学的リスクの高まりなど、景気の先行きは不透明な状況が続きました。,1
今後の見通しにつきましても、海外経済の不確実性はあるものの、雇用情勢や所得環境の改善傾向やインバウンド消費の継続により、緩やかな回復が続くものと思われます。,1
主な要因は、増加項目として訴訟に関する預託金の支払額の減少４億77百万円、売上債権の増加額の減少３億69百万円、たな卸資産の増加額の減少１億95百万円、減少項目として税金等調整前当期純利益の減少98百万円、投資有価証券評価損の減少１億34百万円、仕入債務の減少額の増加90百万円等です。,0
"セグメントの名称当連結会計年度（自 平成29年４月１日至 平成30年３月31日）前年同期比（％）金額（百万円）ITサービス10,527112.",0
一方保護主義的な貿易政策の拡大による経済の不確実性も高まりました。,1
相手先前連結会計年度（自 平成29年４月１日至 平成30年３月31日）当連結会計年度（自 平成30年４月１日至 平成31年３月31日）金額（百万円）割合（％）金額（百万円）割合（％）サハダイヤモンド（上海）有限公司7316.,0
 また、分譲事業の多様化の推進を図るべく、マンション建替組合の参加組合員として「レ・ジェイド樟葉（大阪府枚方市、総戸数78戸）」の建替え事業に参画し、販売を開始しております。,0
 (1) 財政状態及び経営成績の状況当連結会計年度におけるわが国経済は、海外経済の不確実性や地政学リスクの高まりなどにより先行き不透明な状況が続いたものの、企業収益や雇用・所得環境の改善を背景に景気は緩やかな回復基調で推移しました。,1
この財務諸表の作成にあたり、見積りが必要な事項につきましては、合理的な基準に基づき会計上の見積りを行っております。,0
 b．経営成績等の状況に関する経営者の視点による認識・分析・検討（事業全体） 当連結会計年度におけるわが国経済は、雇用・所得環境や企業収益の改善により、引き続き緩やかな景気回復基調にありましたが、通商問題の動向が世界経済に与える影響や、海外経済の不確実性、金融資本市場の変動の影響などにより、先行きが不透明な状況が見受けられました。,1
  ③ 次期の見通し我が国経済は、輸出や生産の一部に弱さがみられるものの、緩やかな回復基調が続くことが期待されておりますが、通商問題の動向が世界経済に与える影響や、中国を始めとする海外経済の動向や政策に対する不確実性などに起因する影響がリスクとして懸念されております。,1
(1) 経営成績当連結会計年度におけるわが国経済は、中国経済の減速など海外経済の動向と政策に関する不確実性が懸念されつつも、企業収益や設備投資が増加し、雇用・所得環境も改善するなど、各種政策の効果もあり、緩やかな回復基調で推移しました。,1
売上高の増加率と比べ低い増加率となった要因は、主に飼育者の低価格志向の継続、業界内の価格競争激化による販売価格の下落などによる売上総利益率の低下によるものであります。,0
売上高の増加は、前連結会計年度及び当連結会計年度におけるサンマルクカフェ、生麺工房鎌倉パスタ、ベーカリーレストラン・バケット等の新規出店店舗の売上が寄与いたしました。,0
" （財務活動によるキャッシュ・フロー）当連結会計年度における財務活動による資金の増加は、7,798百万円（前年同期比26.",0
 （３）資本の財源及び資金の流動性についての分析（資本の財源）当社グループの資金需要は、足元では建設基礎工事用重仮設鋼材(建設機材)の購入費・工事費・整備加工費・運送費ならびに工場設備投資に伴う支出であり、また今後中長期的には、国内では中期経営計画に基づくＭ＆Ａ・資本参加や新商材の開発、海外ではタイ丸建㈱での重仮設鋼材の追加購入や新規合弁事業のための投資資金であり、これらの資金需要に備えてまいります。,0
英国では、EU離脱に関する不確実性などから成長が減速しました。,1
" （売上高の状況）当連結会計年度の売上高は、1,811億71百万円、前期に比べ75億91百万円の増収（前期比104.",0
また、人材育成の基盤として社内に開設した「ヤオコー大学」を通して、入社１年目から５年目までの教育カリキュラムを体系的に展開しております。,0
これは主に、親会社株主に帰属する当期純利益の計上による利益剰余金の増加140百万円及び剰余金の配当による利益剰余金の減少121百万円、その他有価証券評価差額金の増加18百万円によるものです。,0
