text,label
 ３ 【経営者による財政状態、経営成績及びキャッシュ・フローの状況の分析】本項の財政状態、経営成績及びキャッシュ・フローの分析は、将来のリスク、不確実性及び仮定を伴う予測情報を含んでいます。,1
 今後も不確実性を伴う経営環境が続くことが予想されることから、感染症の拡大の収束時期や各国・地域の状況を予測することは困難であります。,1
従いまして、継続企業の前提に関する重要な不確実性は、認められないものと判断しておりますので、当期財務諸表の注記には記載をしておりません。,1
これらに加えて、当社の当事業年度末の資金残高の状況を総合的に検討した結果、事業活動の継続性に疑念はなく、継続企業の前提に関する重要な不確実性は認められないものと判断しております。,1
 （販売費及び一般管理費、営業利益）販売費及び一般管理費は、人件費等の増加により、前事業年度と比較して167百万円（前期比4.,0
 ３ 【経営者による財政状態、経営成績及びキャッシュ・フローの状況の分析】(業績等の概要)(1) 業績当連結会計年度におけるわが国経済は、雇用環境を中心に穏やかな回復傾向ではあるものの、米中貿易摩擦の長期化による世界経済の不確実性、相次いだ自然災害や消費増税による国内景気への影響が懸念される等、依然として先行き不透明な状況が続いております。,1
 経営成績当連結会計年度におけるわが国経済は、雇用・所得環境や企業収益の改善が続き、全体として緩やかな回復基調で推移したものの、米中通商問題の長期化や、海外経済の動向と各国の経済政策に関する不確実性、金融資本市場の変動の影響などにより、不透明な状況が続きました。,1
これは有利子負債が全体で178億21百万円減少したほか、支払手形及び買掛金が22億48百万円減少したことなどによるものであります。,0
また、新規開発費用を含む営業費用を抑制したことにより、利益指標における損失額は前期と比べ縮小いたしました。,0
 ①財政状態及び経営成績の状況当連結会計年度におけるわが国経済は、企業収益や雇用の改善がみられ、景気は緩やかな回復基調が続いています。,0
また、「ちきゅう」では、名刺管理機能等の追加による単価の向上と顧客セグメントの拡大に取り組んでまいりました。,0
また、既存店が低迷する中、平成28年９月に仙台市若林区に出店致しましたTSUTAYA仙台荒井店が軌道化し、売上高は比較的順調に推移致しました。,0
減損の兆候の把握、減損損失の認識及び測定に当たっては慎重に検討しておりますが、将来の不確実な経営環境の変動等により事業計画の見直しが必要になった場合、翌連結会計年度以降の連結財務諸表において追加の減損損失が発生する可能性があります。,1
 当社といたしましては、このような経営の不確実性を解消すべく、平成29年10月31日に締結した塩野義製薬株式会社との資本業務提携契約に係るマイルストーン条件の確実な達成による収益の確保に重点的に取り組んでいくものの、当面は塩野義製薬株式会社との資本業務提携に係るマイルストーンフィーの収受による売上が主な収益となるため、当該提携に関する研究開発の進捗状況が当社の損益に影響を及ぼす可能性があります。,1
① 財政状態及び経営成績の状況当事業年度におけるわが国の経済は、企業収益や雇用・所得環境の改善が続くなど、緩やかな回復基調で推移いたしましたが、一方で、米国の政策運営への警戒感や東アジア地域等の情勢不安による経済への影響などの不確実性も存在しており、景気の先行きは依然として不透明な状況が続きました。,1
設備用パッケージエアコン、ビル用マルチエアコンなどの空調機器と大型物流施設向けなどに発電設備、受配電設備が伸長いたしました。,0
また、その他事業では、経常収益は前連結会計年度比21百万円増加し、24億27百万円となり、セグメント利益は同２百万円減少し、６億37百万円となりました。,0
しかしながら、米中通商問題の動向や中国経済の先行きなど、海外経済に関する不確実さもあり、加えて、中国湖北省で発生した新型コロナウイルスの感染拡大が世界経済に影響を見せ始めております。,1
1％といずれも2020年のマイナス成長からの回復を見通すものの、依然として不確実性が極めて高く、先行き不透明な状況にあります。,1
しかしながら、新型コロナウイルス感染症拡大による影響は不確定要素が多く、翌会計年度の当社の財政状態、経営成績に影響を及ぼす可能性があります。,1
 当第３四半期連結累計期間では、第２四半期以降の業況において一部回復傾向も見られるようになりましたが、新型コロナウイルス感染症拡大の不確実性や新たな変異株の出現による感染の再拡大の懸念などもあり、今後、当進行年度内での業績に与える影響も不透明であります。,1
"主な内容は、「投資有価証券評価損」94,355千円、「減損損失」48,599千円、「株式報酬費用消滅損」48,354千円であります。",0
当社グループの連結財務諸表の作成にあたって採用している重要な会計方針は「第５ 経理の状況 １ 連結財務諸表等（１）連結財務諸表 注記事項（連結財務諸表作成のための基本となる重要な事項）」に記載しております。,0
"負債は、流動負債その他に計上されている未払消費税等の減少等により、前連結会計年度末に比べ1,484百万円減少し、45,470百万円となりました。",0
